Rank,ContributorName,ContributorTitle,Category,Subscribers,Audience,Authentic,Engagement
1,jlo,Jennifer Lopez,"Music, Cinema & Actors/actresses",248.6M,United States,556.6K,817K
2,vindiesel,Vin Diesel,Cinema & Actors/actresses,96.6M,United States,602K,773.7K
3,realstraykids,Stray Kids,Music,25.8M,Indonesia,1.6M,1.9M
4,meganfox,Megan Fox,Cinema & Actors/actresses,21.2M,United States,1.4M,2.3M
5,theweeknd,Abel Tesfaye,Music,61.2M,United States,509.7K,690.4K
6,johnnydepp,Johnny Depp,"Cinema & Actors/actresses, Music",28.2M,United States,956.3K,1.3M
7,emrata,Emily Ratajkowski,Modeling,30.2M,United States,837.7K,1.2M
8,ester_exposito,Ester 🌙,Cinema & Actors/actresses,27.4M,Mexico,821.4K,1.2M
9,judebellingham,Jude Bellingham,"Lifestyle, Sports with a ball",13M,United Kingdom,975.6K,2.5M
10,haileybieber,Hailey Rhode Baldwin Bieber,"Lifestyle, Modeling",49.8M,United States,482.2K,648.7K
11,feliciathegoat,"Tyler, The Creator",Music,14.2M,United States,1M,1.7M
12,iamhalsey,halsey,Music,31.8M,United States,489.6K,644.3K
13,thenotoriousmma,Conor McGregor Official,Fitness & Gym,46.5M,United States,329.6K,438.1K
14,enhypen,ENHYPEN,Lifestyle,13M,Indonesia,1.3M,1.6M
15,justintimberlake,Justin Timberlake,"Music, Art/Artists, Cinema & Actors/actresses",70.3M,United States,214K,285.8K
16,asaprocky,A$AP ROCKY,Music,17.1M,United States,689.3K,1.2M
17,hoooooyeony,Hoyeon,"Lifestyle, Music",21.1M,South Korea,699.3K,915.3K
18,hannahstocking,Hannah Stocking,Modeling,25.2M,United States,570.1K,764.1K
19,cznburak,Burak Özdemir,Food & Cooking,48.7M,Turkey,243.9K,330.7K
20,evcenf,Fahriye Evcen Özçivit,"Lifestyle, Beauty",13.6M,Turkey,935.5K,1.2M
21,finnwolfhardofficial,Finn Wolfhard,"Music, Cinema & Actors/actresses",24.7M,Brazil,466.6K,607.3K
22,kingryan,Ryan Garcia,Fitness & Gym,10.4M,United States,944.9K,1.4M
23,aron.piper,ARON🌜🌞,"Music, Lifestyle",13.1M,Brazil,450.4K,848.3K
24,bellapoarch,Bella Poarch,"Lifestyle, Music",13M,United States,638.2K,824.9K
25,realbarbarapalvin,Barbara Palvin,"Modeling, Fashion",19.4M,Russia,403.9K,545.2K
26,salmahayek,Salma Hayek Pinault,Cinema & Actors/actresses,24.9M,United States,338.1K,417.4K
27,adamweitsman,Adam Weitsman,Business & Careers,20M,Russia,372.2K,455.5K
28,jy_piece,정연 (JEONGYEON),,7.5M,Brazil,950.3K,1.2M
29,larissamanoela,Larissa Manoela,Cinema & Actors/actresses,49.2M,Brazil,100.7K,167K
30,thebursin,Kerem Bürsin,Cinema & Actors/actresses,11.3M,Russia,568.5K,728.7K
31,neslihanatagul,Neslihan Atagül Doğulu,"Cinema & Actors/actresses, Modeling",14.1M,Turkey,463.3K,587.3K
32,jensenackles,Jensen Ackles,Cinema & Actors/actresses,10.9M,United States,547.4K,711.2K
33,nina,Nina Dobrev,Cinema & Actors/actresses,26.4M,Brazil,195.2K,280.1K
34,amauryguichon,Amaury Guichon,Food & Cooking,11.6M,United States,515.7K,628.6K
35,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,59.1M,United States,88.1K,108.2K
36,snejanaonopka15,Snejana Onopka,Modeling,13.8M,Russia,388.4K,466.9K
37,irinashayk,irina shayk,Modeling,22.3M,Russia,214.4K,271.7K
38,rosiehw,Rosie HW,Modeling,18.7M,United States,222.7K,319.9K
39,dk_is_dokyeom,도겸,"Lifestyle, Music",5.3M,Indonesia,987.9K,1.1M
40,tatawerneck,Tata Werneck,"Cinema & Actors/actresses, Family",56.1M,Brazil,59.1K,92K
41,c.syresmith,Jaden Smith,"Cinema & Actors/actresses, Lifestyle",19.9M,United States,144.3K,223.3K
42,hasbulla.hushetskiy,Hasbulla Magomedov,Lifestyle,8.6M,Russia,333.6K,505.2K
43,subo_m,Субо Мамедов,Shows,11.4M,Russia,289.5K,353.6K
44,tamaaev,Тамаев Асхаб,Fitness & Gym,9.5M,Russia,294.6K,419.3K
45,anastasiya_kvitko,AK 🤍,"Lifestyle, Modeling",12.7M,United States,242.2K,296.5K
46,jeremyrenner,Jeremy Renner,"Shows, Cinema & Actors/actresses",21M,United States,149.4K,179.2K
47,miketyson,Mike Tyson,Fitness & Gym,21.5M,United States,133.7K,171.9K
48,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness & Gym,5.9M,Ukraine,494.2K,623.4K
49,mathildtantot,Mathilde,"Lifestyle, Modeling",9.6M,United States,245.4K,371.7K
50,t22felton,Tom Felton,"Music, Cinema & Actors/actresses",11.9M,United States,226.6K,293.6K
